content_id,title,content_type,category,interaction_count
1,How to Use the Rewards Program,Tutorial,Rewards,1
2,Platform Features Overview,Article,General,1
3,Setting Up Your Profile,Video,User Guide,1
4,Navigating the Dashboard,Tutorial,User Guide,1
5,Understanding User Roles,Article,Admin,1
6,Improving Account Security,Tutorial,Security,1
7,Top 5 FAQs Answered,Article,Support,1
8,How to Submit Feedback,Video,Feedback,1
9,Troubleshooting Common Issues,Tutorial,Support,1
10,Enhancing Your Experience,Article,General,1
